ID,site_name,climate_div_num,climate_div_name,SLOPE_PCT,PERC_DEV,PERC_FOR,PERC_AG,PERC_WATER,DRAIN_SQKM,HYDRO_DISTURB_INDX,PPTAVG_BASIN,T_MAX_BASIN,PET,GEOL_REEDBUSH_DOM,STREAMS_KM_SQ_KM,STRAHLER_MAX,HIRES_LENTIC_PCT,BFI_AVE,TOPWET,CONTACT,RUNAVE7100,PCT_1ST_ORDER,NDAMS_2009,DDENS_2009,DECIDNLCD06,EVERGRNLCD06,HGA,HGB,HGAD,HGC,HGD,HGAC,HGBD,HGCD,HGBC,PERMAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,SANDAVE
2053200,"POTECASI CREEK NEAR UNION, NC",8,Northern_Coastal_Plain,0.4,6.46,32.78,33.01,0.1,583.6599,9,119.7784,21.74501,844.5452,1,0.704957116,4,0.088664652,34.27021,14.92743,1509.033,355.4197,62.9326838,1,0.171332655,9.043795,20.69865,21.50489,12.02083,0.000333065,3.959585,36.51638,0,25.99799,0,0,6.936138,59.64186,23.02787,25.77911,51.19303
2053500,"AHOSKIE CREEK AT AHOSKIE, NC",8,Northern_Coastal_Plain,0.1,6.71,38.49,25.4,0.14,165.8835,9,120.5353,21.77979,842.2308,1,0.693917719,3,0.04448906,32.43633,14.76295,635.1417,332.1364,69.40970988,0,0,6.992377,29.28465,1.052166,14.40754,0.559325,5.338871,50.87841,0,27.76369,0,0,5.463871,60,26.85869,33.59653,39.54478
2068500,"DAN RIVER NEAR FRANCISCO, NC",3,Northern_Piedmont,13,4.6,71.25,20.84,0.24,321.6789,21,136.8755,18.56833,705.7459,2,0.942922896,4,0.366794382,58.53749,11.2282,63.56464,425.1807,51.67385164,7,2.176083044,61.72693,5.189678,13.33325,50.56006,0,33.74431,2.362374,0,0,0,0,2.754585,43.88952,21.70613,44.9451,33.34877
2069000,"DAN RIVER AT PINE HALL, NC",3,Northern_Piedmont,8.4,5.72,69.34,17.8,0.37,1280.292,23,125.9569,19.85538,761.2059,2,1.047766447,5,0.31689637,56.8179,11.72105,117.1059,424.7324,59.32842669,40,3.124287272,57.88371,8.77377,3.350965,75.60399,0,19.22747,1.760874,0,0,0.0566969,0,1.923887,53.30354,29.0114,35.29111,35.69748
2070500,"MAYO RIVER NEAR PRICE, NC",3,Northern_Piedmont,9.2,5.04,73.54,14.95,0.12,672.642,15,126.7269,19.73733,755.0629,2,0.859128927,5,0.133666903,54.34386,11.89664,114.0405,424,56.50628099,4,0.594669973,60.63208,9.184752,1.865664,80.6922,0,16.12385,1.312501,0,0,0.005780192,0,1.95541,54.70608,36.57093,34.47832,28.95075
2071000,"DAN RIVER NEAR WENTWORTH, NC",3,Northern_Piedmont,7.6,6.33,68.02,17.45,0.89,2706.758,25,124.1385,20.05412,770.66,2,0.940768624,6,0.853397267,54.14145,11.83906,139.4377,424.2589,58.68730887,84,3.103343557,56.08096,9.281103,2.048627,78.28296,0,16.82473,2.708204,0,0,0.1354849,0,1.849089,54.75996,32.32732,34.54305,33.12963
2074000,"SMITH RIVER AT EDEN, NC",3,Northern_Piedmont,10.7,8.37,76.24,10.28,1.07,1408.742,24,123.729,19.70429,745.6238,2,0.920725726,6,1.119296641,51.08719,11.63105,100.7446,423.282,57.92649559,20,1.419706376,64.79462,7.688455,5.390338,72.57577,0,20.58327,0.5226265,0,0,0.9279913,0,2.139587,54.46882,34.65773,35.42414,29.91814
2077200,"HYCO CREEK NEAR LEASBURG, NC",3,Northern_Piedmont,4,3.71,58.17,24.5,0.39,121.6944,12,117.9977,21.24217,821.6115,3,0.678670259,3,0.656727,33.66996,13.27885,242.0436,327.2789,69.27140537,6,4.930382992,46.07295,8.50491,0,31.60168,0,62.18086,3.991033,0,0,2.226423,0,1.689841,48.55695,31.77069,35.30478,32.92453
2077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",3,Northern_Piedmont,3.8,3.94,59.05,21.08,4.16,526.7394,31,117.782,21.21822,816.197,3,0.697201311,4,4.812684,33.43099,12.95308,266.5001,327.3176,57.27626419,11,2.088319195,43.56054,10.98919,0,35.69619,0,58.57631,3.626841,0,0,2.100662,0,1.620094,50.11851,32.99639,35.54963,31.45398
2077670,"MAYO CR NR BETHEL HILL, NC",3,Northern_Piedmont,3.5,4.02,57.32,18.24,7.57,137.3355,23,117.8533,20.98763,808.9366,2,0.7441186,4,8.335135,31.58157,12.78385,337.0865,327.7536,52.70859611,1,0.728143852,42.03939,10.12615,0,61.88302,0,34.68739,1.966192,0,0,1.463397,0,1.380065,57.52213,35.71604,38.70046,25.5835
